url,primary_category,secondary_category,product_category
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/potato-onion-tomato/,fruits-vegetables,fresh-vegetables,potato-onion-tomato
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/cucumber-capsicum/,fruits-vegetables,fresh-vegetables,cucumber-capsicum
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/leafy-vegetables/,fruits-vegetables,fresh-vegetables,leafy-vegetables
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/root-vegetables/,fruits-vegetables,fresh-vegetables,root-vegetables
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/beans-brinjals-okra/,fruits-vegetables,fresh-vegetables,beans-brinjals-okra
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/cabbage-cauliflower/,fruits-vegetables,fresh-vegetables,cabbage-cauliflower
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/gourd-pumpkin-drumstick/,fruits-vegetables,fresh-vegetables,gourd-pumpkin-drumstick
https://www.bigbasket.com/pc/fruits-vegetables/fresh-vegetables/specialty/,fruits-vegetables,fresh-vegetables,specialty
https://www.bigbasket.com/pc/fruits-vegetables/herbs-seasonings/lemon-ginger-garlic/,fruits-vegetables,herbs-seasonings,lemon-ginger-garlic
https://www.bigbasket.com/pc/fruits-vegetables/herbs-seasonings/indian-exotic-herbs/,fruits-vegetables,herbs-seasonings,indian-exotic-herbs
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/banana-sapota-papaya/,fruits-vegetables,fresh-fruits,banana-sapota-papaya
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/kiwi-melon-citrus-fruit/,fruits-vegetables,fresh-fruits,kiwi-melon-citrus-fruit
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/apples-pomegranate/,fruits-vegetables,fresh-fruits,apples-pomegranate
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/seasonal-fruits/,fruits-vegetables,fresh-fruits,seasonal-fruits
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/mangoes/,fruits-vegetables,fresh-fruits,mangoes
https://www.bigbasket.com/pc/fruits-vegetables/fresh-fruits/fruit-baskets/,fruits-vegetables,fresh-fruits,fruit-baskets
https://www.bigbasket.com/pc/fruits-vegetables/organic-fruits-vegetables/organic-vegetables/,fruits-vegetables,organic-fruits-vegetables,organic-vegetables
https://www.bigbasket.com/pc/fruits-vegetables/organic-fruits-vegetables/organic-fruits/,fruits-vegetables,organic-fruits-vegetables,organic-fruits
https://www.bigbasket.com/pc/fruits-vegetables/cuts-sprouts/cut-fruit-tender-coconut/,fruits-vegetables,cuts-sprouts,cut-fruit-tender-coconut
https://www.bigbasket.com/pc/fruits-vegetables/cuts-sprouts/cut-peeled-veggies/,fruits-vegetables,cuts-sprouts,cut-peeled-veggies
https://www.bigbasket.com/pc/fruits-vegetables/cuts-sprouts/fresh-salads-sprouts/,fruits-vegetables,cuts-sprouts,fresh-salads-sprouts
https://www.bigbasket.com/pc/fruits-vegetables/cuts-sprouts/recipe-packs/,fruits-vegetables,cuts-sprouts,recipe-packs
https://www.bigbasket.com/pc/fruits-vegetables/exotic-fruits-veggies/exotic-vegetables/,fruits-vegetables,exotic-fruits-veggies,exotic-vegetables
https://www.bigbasket.com/pc/fruits-vegetables/exotic-fruits-veggies/exotic-fruits/,fruits-vegetables,exotic-fruits-veggies,exotic-fruits
https://www.bigbasket.com/pc/fruits-vegetables/flower-bouquets-bunches/marigold/,fruits-vegetables,flower-bouquets-bunches,marigold
https://www.bigbasket.com/pc/fruits-vegetables/flower-bouquets-bunches/other-flowers/,fruits-vegetables,flower-bouquets-bunches,other-flowers
https://www.bigbasket.com/pc/fruits-vegetables/flower-bouquets-bunches/roses/,fruits-vegetables,flower-bouquets-bunches,roses
https://www.bigbasket.com/pc/foodgrains-oil-masala/atta-flours-sooji/atta-whole-wheat/,foodgrains-oil-masala,atta-flours-sooji,atta-whole-wheat
https://www.bigbasket.com/pc/foodgrains-oil-masala/atta-flours-sooji/sooji-maida-besan/,foodgrains-oil-masala,atta-flours-sooji,sooji-maida-besan
https://www.bigbasket.com/pc/foodgrains-oil-masala/atta-flours-sooji/rice-other-flours/,foodgrains-oil-masala,atta-flours-sooji,rice-other-flours
https://www.bigbasket.com/pc/foodgrains-oil-masala/rice-rice-products/raw-rice/,foodgrains-oil-masala,rice-rice-products,raw-rice
https://www.bigbasket.com/pc/foodgrains-oil-masala/rice-rice-products/poha-sabudana-murmura/,foodgrains-oil-masala,rice-rice-products,poha-sabudana-murmura
https://www.bigbasket.com/pc/foodgrains-oil-masala/rice-rice-products/basmati-rice/,foodgrains-oil-masala,rice-rice-products,basmati-rice
https://www.bigbasket.com/pc/foodgrains-oil-masala/rice-rice-products/boiled-steam-rice/,foodgrains-oil-masala,rice-rice-products,boiled-steam-rice
https://www.bigbasket.com/pc/foodgrains-oil-masala/dals-pulses/toor-channa-moong-dal/,foodgrains-oil-masala,dals-pulses,toor-channa-moong-dal
https://www.bigbasket.com/pc/foodgrains-oil-masala/dals-pulses/cereals-millets/,foodgrains-oil-masala,dals-pulses,cereals-millets
https://www.bigbasket.com/pc/foodgrains-oil-masala/dals-pulses/urad-other-dals/,foodgrains-oil-masala,dals-pulses,urad-other-dals
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-dry-fruits/,foodgrains-oil-masala,organic-staples,organic-dry-fruits
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-dals-pulses/,foodgrains-oil-masala,organic-staples,organic-dals-pulses
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-millet-flours/,foodgrains-oil-masala,organic-staples,organic-millet-flours
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-sugar-jaggery/,foodgrains-oil-masala,organic-staples,organic-sugar-jaggery
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-masalas-spices/,foodgrains-oil-masala,organic-staples,organic-masalas-spices
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-rice-other-rice/,foodgrains-oil-masala,organic-staples,organic-rice-other-rice
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-flours/,foodgrains-oil-masala,organic-staples,organic-flours
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-edible-oil-ghee/,foodgrains-oil-masala,organic-staples,organic-edible-oil-ghee
